Trade_Time,Price_USD,Volume_BTC,Symbol
2025-09-30 01:39:22.476,114552.5,0.01,BTCUSDT
2025-09-30 01:39:22.550,114552.4,0.5,BTCUSDT
2025-09-30 01:39:22.653,114552.5,0.078,BTCUSDT
2025-09-30 01:39:22.653,114552.5,0.171,BTCUSDT
2025-09-30 01:39:23.174,114552.5,0.065,BTCUSDT
2025-09-30 01:39:23.444,114552.5,0.156,BTCUSDT
2025-09-30 01:39:23.540,114552.5,0.003,BTCUSDT
2025-09-30 01:39:23.561,114552.5,0.001,BTCUSDT
2025-09-30 01:39:23.643,114552.4,0.09,BTCUSDT
2025-09-30 01:39:23.921,114552.5,0.252,BTCUSDT
2025-09-30 01:39:23.921,114552.5,0.148,BTCUSDT
2025-09-30 01:39:24.115,114552.4,0.001,BTCUSDT
2025-09-30 01:39:24.187,114552.4,0.001,BTCUSDT
2025-09-30 01:39:24.211,114552.5,0.064,BTCUSDT
2025-09-30 01:39:24.272,114552.5,0.002,BTCUSDT
2025-09-30 01:39:24.603,114552.4,0.026,BTCUSDT
2025-09-30 01:39:24.682,114552.5,0.005,BTCUSDT
2025-09-30 01:39:24.953,114552.5,0.001,BTCUSDT
2025-09-30 01:39:25.190,114552.4,0.001,BTCUSDT
2025-09-30 01:39:25.296,114552.5,0.057,BTCUSDT
2025-09-30 01:39:25.296,114552.5,0.007,BTCUSDT
2025-09-30 01:39:25.589,114552.4,0.188,BTCUSDT
2025-09-30 01:39:26.345,114552.4,0.087,BTCUSDT
2025-09-30 01:39:26.512,114552.5,0.01,BTCUSDT
2025-09-30 01:39:26.521,114552.5,0.064,BTCUSDT
2025-09-30 01:39:26.531,114552.5,0.002,BTCUSDT
2025-09-30 01:39:26.733,114552.4,0.001,BTCUSDT
2025-09-30 01:39:26.914,114552.4,0.03,BTCUSDT
2025-09-30 01:39:27.104,114552.5,0.011,BTCUSDT
2025-09-30 01:39:27.159,114552.5,0.001,BTCUSDT
2025-09-30 01:39:27.480,114552.5,0.064,BTCUSDT
